#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         347    -5.44793    -5.45298  0.00100011
         348    -5.44723    -5.45297 0.000997368
         349    -5.44718    -5.45295 0.000994648
         350    -5.44648    -5.45293 0.000991978
         351     -5.4461    -5.45291 0.000989343
         352    -5.44637    -5.45289 0.000986707
         353    -5.44632    -5.45288 0.000984088
         354    -5.44658    -5.45286 0.000981468
         355    -5.44653    -5.45284 0.000978865
         356     -5.4468    -5.45282 0.000976263
         357    -5.44706    -5.45281 0.000973662
         358     -5.4483    -5.45279 0.000971023
         359    -5.44857    -5.45278  0.00096839
         360    -5.44754    -5.45277 0.000965809
         361    -5.44781    -5.45275 0.000963231
         362    -5.44776    -5.45274 0.000960669
         363    -5.44835    -5.45273 0.000958099
         364    -5.44797    -5.45272 0.000955556
         365    -5.44792     -5.4527 0.000953029
         366    -5.44786    -5.45269 0.000950517
         367    -5.44813    -5.45268 0.000948008
         368    -5.44808    -5.45266 0.000945514
         369    -5.44802    -5.45265 0.000943036
         370    -5.44732    -5.45264 0.000940597
         371    -5.44727    -5.45262 0.000938173
         372    -5.44657    -5.45261 0.000935792
         373    -5.44685    -5.45259  0.00093341
         374    -5.44712    -5.45258 0.000931029
         375    -5.44675    -5.45256 0.000928676
         376    -5.44702    -5.45255 0.000926323
         377    -5.44633    -5.45253 0.000924013
         378    -5.44661    -5.45251 0.000921701
         379    -5.44688     -5.4525 0.000919389
         380    -5.44684    -5.45248  0.00091709
         381    -5.44647    -5.45247 0.000914819
         382    -5.44642    -5.45245 0.000912561
         383    -5.44541    -5.45243 0.000910363
         384    -5.44504    -5.45242 0.000908196
         385      -5.445     -5.4524 0.000906041
         386    -5.44528    -5.45238 0.000903881
         387    -5.44492    -5.45236 0.000901751
         388    -5.44488    -5.45234 0.000899633
         389    -5.44452    -5.45232 0.000897545
         390    -5.44448     -5.4523 0.000895469
         391    -5.44379    -5.45228 0.000893443
         392    -5.44408    -5.45226 0.000891409
         393    -5.44371    -5.45223 0.000889406
         394      -5.444    -5.45221 0.000887394
         395    -5.44299    -5.45219 0.000885454
         396    -5.44264    -5.45217 0.000883547
         397    -5.44325    -5.45214 0.000881607
         398    -5.44321    -5.45212 0.000879677
         399    -5.44253     -5.4521 0.000877801
         400    -5.44315    -5.45207 0.000875891
         401    -5.44312    -5.45205 0.000873992
         402    -5.44341    -5.45203 0.000872082
         403     -5.4437    -5.45201 0.000870163
