#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         530     10.0556     9.82813   0.0811745
         531     10.0489     9.82854   0.0810227
         532      10.042     9.82895   0.0808714
         533     10.0342     9.82933   0.0807206
         534     10.0255      9.8297   0.0805703
         535     10.0174     9.83005   0.0804205
         536      10.009     9.83038   0.0802711
         537     9.99981      9.8307   0.0801223
         538     9.99184       9.831   0.0799739
         539     9.98302     9.83128    0.079826
         540     9.97405     9.83154   0.0796786
         541     9.96566     9.83179   0.0795317
         542     9.95644     9.83202   0.0793853
         543     9.94569     9.83223   0.0792394
         544     9.93555     9.83242    0.079094
         545     9.92814      9.8326    0.078949
         546     9.91924     9.83276   0.0788046
         547     9.90815     9.83289   0.0786607
         548     9.89843     9.83301   0.0785172
         549     9.88865     9.83311   0.0783743
         550     9.87885      9.8332   0.0782318
         551     9.86903     9.83326   0.0780898
         552     9.85849     9.83331   0.0779484
         553     9.84796     9.83333   0.0778074
         554     9.83745     9.83334    0.077667
         555     9.82768     9.83333   0.0775271
         556     9.81864     9.83331   0.0773876
         557     9.80684     9.83326   0.0772487
         558     9.79581     9.83319   0.0771103
         559     9.78767     9.83311   0.0769724
         560     9.77821     9.83301    0.076835
         561     9.77026      9.8329   0.0766981
         562     9.75959     9.83277   0.0765618
         563     9.75045     9.83262   0.0764259
         564     9.74215     9.83246   0.0762906
         565     9.73257     9.83229   0.0761557
         566     9.72313     9.83209   0.0760214
         567     9.71385     9.83188   0.0758877
         568     9.70614     9.83166   0.0757544
         569     9.69789     9.83143   0.0756216
         570     9.68981     9.83118   0.0754893
         571     9.68262     9.83092   0.0753576
         572     9.67632     9.83065   0.0752263
         573      9.6695     9.83037   0.0750956
         574     9.66217     9.83007   0.0749653
         575     9.65574     9.82977   0.0748355
         576     9.64951     9.82946   0.0747063
         577     9.64348     9.82914   0.0745775
         578     9.63554      9.8288   0.0744492
         579     9.62921     9.82846   0.0743214
         580     9.62238      9.8281   0.0741941
         581     9.61717     9.82774   0.0740673
         582     9.61146     9.82737    0.073941
         583     9.60382     9.82698   0.0738152
         584     9.59709     9.82659   0.0736898
         585     9.59197     9.82619   0.0735649
         586     9.58775     9.82578   0.0734405
         587     9.58301     9.82537   0.0733166
         588     9.57916     9.82495   0.0731931
         589      9.5748     9.82452   0.0730701
         590     9.57061     9.82409   0.0729475
         591       9.568     9.82366   0.0728253
         592     9.56556     9.82323   0.0727036
         593     9.56117     9.82278   0.0725824
         594     9.55763     9.82234   0.0724615
         595     9.55566     9.82189   0.0723411
         596     9.55241     9.82144   0.0722212
         597     9.55001     9.82098   0.0721016
         598     9.54631     9.82052   0.0719825
         599     9.54133     9.82006   0.0718639
         600     9.53858     9.81959   0.0717456
