#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         583   0.0436812   0.0441145 7.86539e-06
         584   0.0436787   0.0441138 7.88725e-06
         585   0.0436763    0.044113 7.90913e-06
         586   0.0436738   0.0441123 7.93107e-06
         587   0.0436714   0.0441115 7.95303e-06
         588   0.0436691   0.0441108 7.97502e-06
         589   0.0436665     0.04411 7.99706e-06
         590   0.0436642   0.0441092 8.01913e-06
         591   0.0436618   0.0441085 8.04122e-06
         592   0.0436592   0.0441077 8.06338e-06
         593   0.0436571    0.044107 8.08552e-06
         594   0.0436547   0.0441062 8.10768e-06
         595   0.0436523   0.0441054 8.12986e-06
         596   0.0436499   0.0441047 8.15207e-06
         597   0.0436477   0.0441039 8.17427e-06
         598   0.0436456   0.0441031 8.19646e-06
         599   0.0436431   0.0441024 8.21867e-06
         600   0.0436407   0.0441016 8.24091e-06
         601   0.0436381   0.0441008 8.26322e-06
         602   0.0436356   0.0441001 8.28555e-06
         603   0.0436332   0.0440993  8.3079e-06
         604   0.0436307   0.0440985 8.33029e-06
         605   0.0436283   0.0440977  8.3527e-06
         606   0.0436256    0.044097 8.37518e-06
         607   0.0436231   0.0440962 8.39768e-06
         608   0.0436206   0.0440954 8.42021e-06
