#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         272    0.951092    0.950359 1.96966e-05
         273    0.951101    0.950362  1.9811e-05
         274    0.951109    0.950364 1.99257e-05
         275    0.951118    0.950367 2.00407e-05
         276    0.951126     0.95037 2.01559e-05
         277    0.951135    0.950373 2.02715e-05
         278    0.951144    0.950376 2.03873e-05
         279    0.951152    0.950378 2.05034e-05
         280    0.951161    0.950381 2.06198e-05
         281     0.95117    0.950384 2.07365e-05
         282    0.951178    0.950387 2.08534e-05
         283    0.951187     0.95039 2.09707e-05
         284    0.951196    0.950392 2.10882e-05
         285    0.951205    0.950395  2.1206e-05
         286    0.951214    0.950398 2.13241e-05
         287    0.951223    0.950401 2.14425e-05
         288    0.951232    0.950404 2.15612e-05
         289    0.951241    0.950407 2.16801e-05
         290     0.95125     0.95041 2.17994e-05
         291    0.951259    0.950413 2.19189e-05
         292    0.951268    0.950415 2.20387e-05
         293    0.951277    0.950418 2.21588e-05
         294    0.951286    0.950421 2.22792e-05
         295    0.951295    0.950424 2.23998e-05
         296    0.951305    0.950427 2.25208e-05
         297    0.951314     0.95043  2.2642e-05
         298    0.951323    0.950433 2.27635e-05
         299    0.951333    0.950436 2.28852e-05
         300    0.951342    0.950439 2.30073e-05
         301    0.951352    0.950442 2.31296e-05
         302    0.951361    0.950445 2.32523e-05
         303    0.951371    0.950448 2.33752e-05
         304     0.95138    0.950452 2.34984e-05
         305     0.95139    0.950455 2.36218e-05
         306    0.951399    0.950458 2.37456e-05
         307    0.951409    0.950461 2.38696e-05
         308    0.951419    0.950464 2.39939e-05
         309    0.951429    0.950467 2.41185e-05
         310    0.951438     0.95047 2.42434e-05
         311    0.951448    0.950473 2.43685e-05
         312    0.951458    0.950476  2.4494e-05
         313    0.951468     0.95048 2.46197e-05
         314    0.951478    0.950483 2.47457e-05
         315    0.951488    0.950486  2.4872e-05
         316    0.951498    0.950489 2.49986e-05
         317    0.951508    0.950492 2.51254e-05
         318    0.951518    0.950496 2.52526e-05
         319    0.951528    0.950499   2.538e-05
         320    0.951538    0.950502 2.55077e-05
         321    0.951549    0.950505 2.56358e-05
         322    0.951559    0.950509 2.57641e-05
         323    0.951569    0.950512 2.58926e-05
         324    0.951579    0.950515 2.60215e-05
         325     0.95159    0.950519 2.61507e-05
         326      0.9516    0.950522 2.62801e-05
         327    0.951611    0.950525 2.64098e-05
         328    0.951621    0.950529 2.65399e-05
         329    0.951632    0.950532 2.66702e-05
         330    0.951642    0.950535 2.68008e-05
         331    0.951653    0.950539 2.69316e-05
         332    0.951663    0.950542 2.70628e-05
         333    0.951674    0.950545 2.71943e-05
         334    0.951685    0.950549  2.7326e-05
         335    0.951696    0.950552  2.7458e-05
         336    0.951706    0.950556 2.75903e-05
         337    0.951717    0.950559 2.77229e-05
         338    0.951728    0.950563 2.78558e-05
         339    0.951739    0.950566  2.7989e-05
         340     0.95175     0.95057 2.81225e-05
         341    0.951761    0.950573 2.82562e-05
         342    0.951772    0.950577 2.83903e-05
         343    0.951783     0.95058 2.85246e-05
         344    0.951794    0.950584 2.86592e-05
         345    0.951805    0.950587 2.87941e-05
