#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         309  -0.0342531  -0.0326075 4.09201e-05
         310  -0.0342726  -0.0326129  4.1139e-05
         311  -0.0342945  -0.0326183 4.13605e-05
         312  -0.0343117  -0.0326238 4.15826e-05
         313   -0.034329  -0.0326292 4.18051e-05
         314  -0.0343487  -0.0326347 4.20291e-05
         315  -0.0343685  -0.0326402 4.22545e-05
         316  -0.0343859  -0.0326457 4.24804e-05
         317  -0.0344011  -0.0326512 4.27058e-05
         318  -0.0344187  -0.0326568 4.29317e-05
         319  -0.0344363  -0.0326624  4.3158e-05
         320   -0.034454   -0.032668 4.33847e-05
         321  -0.0344694  -0.0326736  4.3611e-05
         322  -0.0344872  -0.0326792 4.38378e-05
         323  -0.0345027  -0.0326849 4.40641e-05
         324  -0.0345206  -0.0326905 4.42908e-05
         325  -0.0345362  -0.0326962 4.45171e-05
         326  -0.0345542  -0.0327019  4.4744e-05
         327    -0.03457  -0.0327076 4.49703e-05
         328  -0.0345905  -0.0327134 4.51981e-05
         329  -0.0346063  -0.0327191 4.54255e-05
         330  -0.0346222  -0.0327249 4.56525e-05
         331  -0.0346429  -0.0327307 4.58808e-05
         332  -0.0346613  -0.0327365 4.61097e-05
         333  -0.0346774  -0.0327423 4.63381e-05
         334  -0.0346935  -0.0327482 4.65662e-05
         335  -0.0347145   -0.032754 4.67957e-05
         336  -0.0347307  -0.0327599 4.70247e-05
         337   -0.034747  -0.0327658 4.72534e-05
         338  -0.0347634  -0.0327717 4.74818e-05
         339   -0.034787  -0.0327777 4.77124e-05
         340  -0.0348034  -0.0327836 4.79426e-05
         341    -0.03482  -0.0327896 4.81725e-05
         342   -0.034839  -0.0327956 4.84029e-05
         343  -0.0348556  -0.0328016  4.8633e-05
         344  -0.0348747  -0.0328076 4.88636e-05
         345  -0.0348939  -0.0328137 4.90948e-05
         346  -0.0349155  -0.0328197 4.93272e-05
         347  -0.0349324  -0.0328258 4.95594e-05
         348  -0.0349517  -0.0328319 4.97921e-05
         349  -0.0349688  -0.0328381 5.00244e-05
         350  -0.0349906  -0.0328442 5.02581e-05
         351  -0.0350101  -0.0328504 5.04923e-05
         352  -0.0350297  -0.0328566  5.0727e-05
         353  -0.0350494  -0.0328628 5.09623e-05
         354  -0.0350667   -0.032869 5.11972e-05
