#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         560     1.88408    0.855695    0.100779
         561     1.88504     0.85753    0.100616
         562     1.88604     0.85936    0.100454
         563     1.88757    0.861186    0.100292
         564     1.88866    0.863008     0.10013
         565     1.89052    0.864827   0.0999698
         566     1.89244    0.866642   0.0998096
         567     1.89392    0.868454     0.09965
         568     1.89569    0.870263    0.099491
         569     1.89729    0.872068   0.0993325
         570     1.89869    0.873869   0.0991746
         571      1.9004    0.875667   0.0990172
         572     1.90241    0.877462   0.0988604
         573     1.90424    0.879253   0.0987041
         574     1.90638    0.881043   0.0985483
         575     1.90811    0.882829   0.0983931
         576     1.91015    0.884613   0.0982385
         577     1.91251    0.886394   0.0980844
         578     1.91494    0.888174   0.0979308
         579     1.91721    0.889951   0.0977778
         580      1.9198    0.891726   0.0976253
         581     1.92247    0.893501   0.0974734
         582     1.92475    0.895272    0.097322
         583     1.92711    0.897042   0.0971712
         584      1.9298    0.898811   0.0970209
         585     1.93234    0.900577   0.0968711
         586     1.93546    0.902343   0.0967219
         587     1.93867    0.904109   0.0965733
         588     1.94149    0.905873   0.0964251
         589     1.94465    0.907637   0.0962776
         590     1.94816      0.9094   0.0961305
         591     1.95152    0.911164    0.095984
         592      1.9557    0.912928   0.0958381
         593     1.95902    0.914692   0.0956927
         594     1.96292    0.916457   0.0955479
         595     1.96644    0.918222   0.0954036
         596     1.97054    0.919987   0.0952599
         597     1.97474    0.921754   0.0951167
         598     1.97881    0.923522   0.0949741
         599     1.98272     0.92529    0.094832
         600     1.98722     0.92706   0.0946904
         601     1.99061    0.928829   0.0945494
         602     1.99578    0.930602    0.094409
         603     2.00032    0.932376   0.0942691
         604     2.00543    0.934152   0.0941297
         605     2.01014    0.935931   0.0939909
         606     2.01518    0.937712   0.0938527
         607     2.01958    0.939494    0.093715
         608     2.02454    0.941279   0.0935779
         609     2.02982    0.943066   0.0934413
         610     2.03492    0.944856   0.0933052
         611     2.04034    0.946649   0.0931698
         612     2.04558    0.948445   0.0930348
         613     2.05089    0.950243   0.0929004
         614     2.05649    0.952045   0.0927666
         615     2.06191    0.953849   0.0926333
         616     2.06737    0.955657   0.0925006
         617     2.07313    0.957468   0.0923684
         618     2.07917    0.959283   0.0922367
         619     2.08525    0.961102   0.0921057
         620     2.09112    0.962925   0.0919751
         621     2.09703    0.964751   0.0918452
         622     2.10273    0.966581   0.0917157
         623     2.10821    0.968413   0.0915868
         624     2.11395    0.970249   0.0914584
         625     2.11972    0.972088   0.0913306
         626     2.12551    0.973931   0.0912033
         627     2.13155    0.975777   0.0910765
         628     2.13761    0.977627   0.0909503
         629     2.14296     0.97948   0.0908245
         630      2.1488    0.981336   0.0906993
         631     2.15465    0.983195   0.0905747
         632     2.16051    0.985058   0.0904505
         633     2.16614    0.986924   0.0903268
         634     2.17226    0.988793   0.0902037
         635     2.17838    0.990667   0.0900811
         636     2.18403    0.992543    0.089959
         637     2.18993    0.994423   0.0898374
         638     2.19536    0.996305   0.0897163
         639     2.20127    0.998191   0.0895958
         640     2.20743     1.00008   0.0894757
         641     2.21337     1.00197   0.0893561
         642     2.21955     1.00387   0.0892371
         643     2.22599     1.00577   0.0891185
         644     2.23195     1.00767   0.0890005
         645     2.23793     1.00958   0.0888829
         646     2.24392     1.01149   0.0887659
         647     2.25016     1.01341   0.0886493
         648     2.25618     1.01532   0.0885333
         649     2.26222     1.01725   0.0884177
         650     2.26778     1.01917   0.0883026
         651     2.27408      1.0211    0.088188
         652     2.27968     1.02303   0.0880738
         653     2.28673     1.02496   0.0879602
         654     2.29236      1.0269   0.0878471
         655     2.29871     1.02884   0.0877344
         656     2.30436     1.03079   0.0876222
         657     2.31025     1.03273   0.0875105
         658     2.31616     1.03469   0.0873992
         659      2.3223     1.03664   0.0872884
         660     2.32797      1.0386   0.0871781
         661     2.33412     1.04056   0.0870683
         662     2.34074     1.04252   0.0869589
         663     2.34663     1.04449     0.08685
         664     2.35299     1.04646   0.0867415
         665     2.35908     1.04843   0.0866335
         666     2.36516     1.05041    0.086526
         667     2.37144     1.05239    0.086419
         668     2.37768     1.05437   0.0863124
         669     2.38412     1.05636   0.0862062
         670     2.39002     1.05835   0.0861005
         671     2.39611     1.06034   0.0859953
         672     2.40189     1.06234   0.0858905
         673      2.4076     1.06434   0.0857861
         674     2.41322     1.06634   0.0856822
         675     2.41971     1.06835   0.0855787
         676      2.4249     1.07035   0.0854756
         677     2.43023     1.07236    0.085373
         678      2.4364     1.07437   0.0852708
         679     2.44148     1.07639   0.0851689
         680     2.44667      1.0784   0.0850675
         681     2.45171     1.08042   0.0849665
         682     2.45564     1.08244   0.0848659
         683      2.4599     1.08445   0.0847656
         684      2.4647     1.08647   0.0846657
         685     2.46861     1.08849   0.0845661
         686     2.47233      1.0905   0.0844669
         687     2.47682     1.09252    0.084368
         688     2.48014     1.09454   0.0842695
         689      2.4835     1.09656   0.0841713
         690     2.48641     1.09857   0.0840734
         691     2.48909     1.10058   0.0839758
         692     2.49251     1.10259   0.0838786
         693     2.49545      1.1046   0.0837816
         694     2.49792     1.10661   0.0836849
         695     2.49918     1.10861   0.0835885
         696     2.50163     1.11062   0.0834924
         697     2.50335     1.11261   0.0833965
         698     2.50458     1.11461   0.0833008
         699     2.50555      1.1166   0.0832054
         700     2.50626     1.11858   0.0831103
         701     2.50646     1.12056   0.0830153
         702     2.50665     1.12254   0.0829205
         703     2.50657     1.12451   0.0828259
         704     2.50646     1.12647   0.0827315
         705     2.50585     1.12843   0.0826373
         706     2.50473     1.13038   0.0825432
         707     2.50287     1.13232   0.0824493
         708     2.50122     1.13425   0.0823555
         709      2.4998     1.13618   0.0822619
         710      2.4986      1.1381   0.0821684
         711     2.49666     1.14001   0.0820751
         712     2.49399     1.14191   0.0819818
         713     2.49107      1.1438   0.0818887
         714     2.48791     1.14568   0.0817956
         715     2.48498     1.14756   0.0817026
         716     2.48158     1.14942   0.0816098
         717     2.47844     1.15127    0.081517
         718     2.47434     1.15312   0.0814243
         719     2.47051     1.15495   0.0813317
         720     2.46623     1.15677   0.0812391
         721      2.4615     1.15858   0.0811466
         722     2.45706     1.16038   0.0810541
         723     2.45194     1.16216   0.0809617
         724     2.44711     1.16394   0.0808693
         725     2.44211      1.1657    0.080777
         726      2.4367     1.16745   0.0806847
         727     2.43137     1.16919   0.0805924
         728     2.42589     1.17092   0.0805002
         729     2.41978     1.17263    0.080408
