#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         454     1.67214     1.98389   0.0243105
         455     1.67416     1.98321   0.0242666
         456     1.67624     1.98254   0.0242227
         457     1.67839     1.98187   0.0241788
         458     1.68061     1.98122    0.024135
         459      1.6829     1.98057   0.0240911
         460     1.68525     1.97992   0.0240473
         461     1.68765     1.97929   0.0240035
         462     1.69011     1.97866   0.0239597
         463     1.69262     1.97805   0.0239159
         464     1.69518     1.97744   0.0238722
         465     1.69777     1.97684   0.0238284
         466     1.70041     1.97624   0.0237846
         467     1.70308     1.97566   0.0237409
         468     1.70578     1.97508   0.0236972
         469      1.7085     1.97451   0.0236535
         470     1.71124     1.97395   0.0236098
         471     1.71399      1.9734   0.0235661
         472     1.71675     1.97286   0.0235224
         473     1.71951     1.97232   0.0234788
         474     1.72227     1.97179   0.0234352
         475     1.72503     1.97127   0.0233916
         476     1.72777     1.97076   0.0233481
         477     1.73049     1.97026   0.0233046
         478      1.7332     1.96976   0.0232611
         479     1.73588     1.96927   0.0232176
         480     1.73853     1.96879   0.0231742
         481     1.74114     1.96832   0.0231309
         482     1.74372     1.96785   0.0230876
         483     1.74626      1.9674   0.0230444
         484     1.74875     1.96694   0.0230012
         485      1.7512      1.9665   0.0229581
         486     1.75359     1.96606    0.022915
         487     1.75593     1.96563    0.022872
         488     1.75821      1.9652   0.0228291
         489     1.76044     1.96479   0.0227862
         490      1.7626     1.96437   0.0227435
         491     1.76469     1.96397   0.0227008
         492     1.76672     1.96357   0.0226582
         493     1.76869     1.96317   0.0226157
         494     1.77058     1.96278   0.0225733
         495     1.77241      1.9624   0.0225309
         496     1.77417     1.96202   0.0224887
         497     1.77586     1.96164   0.0224466
         498     1.77748     1.96127   0.0224045
         499     1.77903     1.96091   0.0223626
         500     1.78051     1.96055   0.0223208
         501     1.78192     1.96019   0.0222791
         502     1.78326     1.95984   0.0222375
         503     1.78454     1.95949    0.022196
         504     1.78574     1.95914   0.0221547
         505     1.78688      1.9588   0.0221134
         506     1.78795     1.95847   0.0220723
         507     1.78896     1.95813   0.0220313
         508     1.78991      1.9578   0.0219904
         509     1.79079     1.95747   0.0219497
         510     1.79161     1.95715    0.021909
         511     1.79238     1.95682   0.0218685
         512     1.79308      1.9565   0.0218281
         513     1.79373     1.95619   0.0217879
         514     1.79432     1.95587   0.0217478
         515     1.79487     1.95556   0.0217078
         516     1.79536     1.95525    0.021668
         517      1.7958     1.95494   0.0216282
         518     1.79619     1.95463   0.0215887
         519     1.79654     1.95433   0.0215492
         520     1.79684     1.95403   0.0215099
         521      1.7971     1.95373   0.0214707
         522     1.79732     1.95343   0.0214317
         523      1.7975     1.95313   0.0213928
         524     1.79765     1.95283    0.021354
         525     1.79776     1.95254   0.0213154
         526     1.79783     1.95224   0.0212769
         527     1.79787     1.95195   0.0212385
         528     1.79788     1.95166   0.0212003
         529     1.79786     1.95137   0.0211622
         530     1.79781     1.95108   0.0211243
         531     1.79773     1.95079   0.0210865
         532     1.79763      1.9505   0.0210488
         533      1.7975     1.95021   0.0210113
         534     1.79735     1.94993   0.0209739
         535     1.79718     1.94964   0.0209366
         536     1.79699     1.94936   0.0208995
         537     1.79678     1.94907   0.0208625
         538     1.79654     1.94879   0.0208256
         539      1.7963     1.94851   0.0207889
         540     1.79603     1.94822   0.0207523
         541     1.79575     1.94794   0.0207159
         542     1.79545     1.94766   0.0206796
         543     1.79514     1.94738   0.0206434
         544     1.79482      1.9471   0.0206074
         545     1.79448     1.94682   0.0205715
         546     1.79413     1.94654   0.0205357
         547     1.79377     1.94626      0.0205
         548     1.79339     1.94598   0.0204645
         549     1.79301      1.9457   0.0204292
         550     1.79261     1.94542   0.0203939
         551      1.7922     1.94515   0.0203588
         552     1.79179     1.94487   0.0203238
         553     1.79136     1.94459   0.0202889
         554     1.79092     1.94431   0.0202542
         555     1.79048     1.94404   0.0202196
         556     1.79002     1.94376   0.0201852
         557     1.78955     1.94348   0.0201508
         558     1.78907     1.94321   0.0201166
         559     1.78858     1.94293   0.0200825
         560     1.78808     1.94265   0.0200486
         561     1.78757     1.94238   0.0200147
         562     1.78705      1.9421    0.019981
         563     1.78651     1.94182   0.0199474
         564     1.78596     1.94155    0.019914
         565      1.7854     1.94127   0.0198807
         566     1.78483     1.94099   0.0198475
         567     1.78424     1.94072   0.0198144
         568     1.78364     1.94044   0.0197814
         569     1.78303     1.94016   0.0197486
         570     1.78239     1.93989   0.0197159
         571     1.78175     1.93961   0.0196833
         572     1.78108     1.93933   0.0196508
         573      1.7804     1.93906   0.0196185
         574      1.7797     1.93878   0.0195863
         575     1.77898      1.9385   0.0195542
         576     1.77824     1.93822   0.0195222
         577     1.77748     1.93794   0.0194904
         578      1.7767     1.93766   0.0194587
         579      1.7759     1.93739   0.0194271
         580     1.77507     1.93711   0.0193956
         581     1.77422     1.93682   0.0193642
         582     1.77335     1.93654    0.019333
         583     1.77245     1.93626   0.0193019
         584     1.77153     1.93598   0.0192709
         585     1.77058      1.9357     0.01924
         586      1.7696     1.93541   0.0192093
         587      1.7686     1.93513   0.0191786
         588     1.76757     1.93485   0.0191481
         589     1.76651     1.93456   0.0191178
         590     1.76542     1.93427   0.0190875
         591     1.76431     1.93399   0.0190574
         592     1.76316      1.9337   0.0190274
         593     1.76198     1.93341   0.0189975
         594     1.76078     1.93312   0.0189677
         595     1.75954     1.93282   0.0189381
         596     1.75828     1.93253   0.0189086
         597     1.75699     1.93224   0.0188792
         598     1.75566     1.93194   0.0188499
         599     1.75431     1.93165   0.0188208
         600     1.75293     1.93135   0.0187918
         601     1.75152     1.93105   0.0187629
         602     1.75008     1.93075   0.0187341
         603     1.74861     1.93045   0.0187055
         604     1.74712     1.93014    0.018677
         605      1.7456     1.92984   0.0186486
         606     1.74406     1.92953   0.0186204
         607     1.74249     1.92922   0.0185922
         608      1.7409     1.92891   0.0185642
         609     1.73929      1.9286   0.0185364
         610     1.73765     1.92829   0.0185086
         611       1.736     1.92797    0.018481
         612     1.73433     1.92766   0.0184535
         613     1.73264     1.92734   0.0184262
         614     1.73093     1.92702   0.0183989
         615     1.72921      1.9267   0.0183718
         616     1.72748     1.92637   0.0183448
         617     1.72573     1.92605    0.018318
         618     1.72397     1.92572   0.0182913
         619      1.7222     1.92539   0.0182647
         620     1.72042     1.92506   0.0182382
         621     1.71863     1.92473   0.0182119
         622     1.71683      1.9244   0.0181857
         623     1.71503     1.92406   0.0181596
         624     1.71323     1.92372   0.0181336
         625     1.71142     1.92338   0.0181078
         626     1.70961     1.92304   0.0180821
         627     1.70779      1.9227   0.0180565
         628     1.70598     1.92235    0.018031
         629     1.70416     1.92201   0.0180057
         630     1.70234     1.92166   0.0179805
         631     1.70052     1.92131   0.0179554
         632     1.69871     1.92095   0.0179305
         633     1.69689      1.9206   0.0179056
         634     1.69507     1.92024   0.0178809
         635     1.69325     1.91989   0.0178563
         636     1.69144     1.91953   0.0178319
         637     1.68962     1.91917   0.0178075
         638     1.68781      1.9188   0.0177833
