#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         292    -5.01205    -5.50769   0.0337443
         293    -5.01286      -5.506   0.0336713
         294    -5.01352    -5.50432   0.0335985
         295     -5.0137    -5.50266   0.0335257
         296    -5.01388    -5.50101   0.0334531
         297     -5.0145    -5.49937   0.0333805
         298     -5.0151    -5.49775    0.033308
         299    -5.01539    -5.49613   0.0332357
         300    -5.01612    -5.49453   0.0331634
         301    -5.01654    -5.49295   0.0330912
         302    -5.01694    -5.49137   0.0330192
         303    -5.01733     -5.4898   0.0329472
         304    -5.01772    -5.48825   0.0328754
         305    -5.01824    -5.48671   0.0328037
         306    -5.01845    -5.48518   0.0327322
         307    -5.01895    -5.48366   0.0326608
         308    -5.01899    -5.48215   0.0325896
         309    -5.01933    -5.48066   0.0325185
         310    -5.01981    -5.47917   0.0324476
         311    -5.02028    -5.47769   0.0323768
         312    -5.02016    -5.47623   0.0323062
         313    -5.02048    -5.47477   0.0322358
         314    -5.02095    -5.47333   0.0321655
         315    -5.02143    -5.47189   0.0320954
         316    -5.02191    -5.47047   0.0320254
         317    -5.02224    -5.46905   0.0319555
         318    -5.02243    -5.46765   0.0318859
         319    -5.02277    -5.46625   0.0318164
         320    -5.02313    -5.46487   0.0317471
         321     -5.0238    -5.46349   0.0316779
         322    -5.02448    -5.46213   0.0316089
         323    -5.02518    -5.46078     0.03154
         324     -5.0259    -5.45944   0.0314712
         325    -5.02632     -5.4581   0.0314025
         326    -5.02677    -5.45678   0.0313341
         327    -5.02739    -5.45547   0.0312658
         328    -5.02817    -5.45416   0.0311976
         329    -5.02868    -5.45287   0.0311295
         330    -5.02935    -5.45159   0.0310616
         331    -5.02974    -5.45031   0.0309939
         332    -5.03015    -5.44905   0.0309264
         333    -5.03104    -5.44779    0.030859
         334    -5.03148    -5.44655   0.0307918
         335    -5.03255    -5.44531   0.0307246
         336    -5.03333    -5.44408   0.0306577
         337    -5.03398    -5.44287   0.0305908
         338    -5.03464    -5.44166   0.0305242
         339     -5.0356    -5.44046   0.0304576
         340    -5.03583    -5.43927   0.0303913
         341     -5.0362    -5.43809   0.0303251
         342    -5.03689    -5.43692   0.0302591
         343    -5.03772    -5.43575   0.0301933
         344    -5.03855     -5.4346   0.0301276
         345    -5.03908    -5.43345   0.0300621
         346    -5.03989    -5.43231   0.0299967
         347     -5.0404    -5.43118   0.0299315
         348    -5.04073    -5.43006   0.0298665
         349     -5.0412    -5.42895   0.0298017
         350    -5.04164    -5.42784   0.0297371
         351    -5.04251    -5.42674   0.0296726
         352    -5.04321    -5.42565   0.0296083
         353    -5.04372    -5.42457   0.0295442
         354    -5.04419     -5.4235   0.0294803
         355    -5.04448    -5.42243   0.0294166
         356    -5.04517    -5.42137    0.029353
         357    -5.04522    -5.42032   0.0292897
         358    -5.04568    -5.41927   0.0292266
         359    -5.04548    -5.41823   0.0291637
         360    -5.04554    -5.41719   0.0291011
         361    -5.04569    -5.41617   0.0290387
         362    -5.04564    -5.41514   0.0289765
         363    -5.04599    -5.41412   0.0289145
         364    -5.04583    -5.41311   0.0288528
         365    -5.04562    -5.41211   0.0287913
         366    -5.04549     -5.4111     0.02873
         367    -5.04486    -5.41011   0.0286691
         368    -5.04477    -5.40911   0.0286083
         369    -5.04418    -5.40812   0.0285479
