#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         439    -3.35183    -3.35056 0.000414415
         440    -3.35206    -3.35056 0.000413487
         441    -3.35199    -3.35056 0.000412562
         442    -3.35206    -3.35057 0.000411643
         443    -3.35214    -3.35057 0.000410729
         444    -3.35222    -3.35058 0.000409821
         445    -3.35215    -3.35058 0.000408915
         446    -3.35223    -3.35058 0.000408015
         447    -3.35216    -3.35059 0.000407117
         448    -3.35269    -3.35059 0.000406236
         449    -3.35262     -3.3506 0.000405356
         450    -3.35285     -3.3506 0.000404487
         451    -3.35293    -3.35061 0.000403623
         452    -3.35316    -3.35061 0.000402769
         453    -3.35324    -3.35062 0.000401922
         454    -3.35331    -3.35062  0.00040108
         455    -3.35338    -3.35063 0.000400245
         456    -3.35345    -3.35064 0.000399415
         457    -3.35337    -3.35064 0.000398586
         458    -3.35343    -3.35065 0.000397762
         459    -3.35319    -3.35065 0.000396934
         460    -3.35325    -3.35066 0.000396111
         461      -3.353    -3.35066 0.000395285
         462    -3.35336    -3.35067 0.000394472
         463     -3.3528    -3.35067 0.000393647
         464    -3.35299    -3.35068  0.00039283
         465    -3.35318    -3.35068 0.000392022
         466    -3.35397    -3.35069 0.000391245
         467      -3.354     -3.3507 0.000390471
         468    -3.35417    -3.35071 0.000389707
         469    -3.35419    -3.35071 0.000388947
         470    -3.35405    -3.35072 0.000388184
         471    -3.35421    -3.35073 0.000387431
         472    -3.35406    -3.35073 0.000386675
         473    -3.35406    -3.35074 0.000385921
         474    -3.35421    -3.35075 0.000385176
         475     -3.3542    -3.35076 0.000384434
         476    -3.35418    -3.35076 0.000383693
         477    -3.35431    -3.35077 0.000382961
         478    -3.35444    -3.35078 0.000382237
         479    -3.35456    -3.35079  0.00038152
         480    -3.35437    -3.35079 0.000380798
         481    -3.35388     -3.3508 0.000380061
         482    -3.35429    -3.35081 0.000379341
         483     -3.3544    -3.35082 0.000378629
         484    -3.35435    -3.35082 0.000377917
         485     -3.3546    -3.35083 0.000377218
         486      -3.355    -3.35084  0.00037654
         487     -3.3551    -3.35085 0.000375868
         488    -3.35504    -3.35086 0.000375196
         489    -3.35482    -3.35086 0.000374516
         490    -3.35491    -3.35087 0.000373843
         491    -3.35515    -3.35088 0.000373183
         492    -3.35493    -3.35089 0.000372515
         493    -3.35471     -3.3509  0.00037184
         494    -3.35479    -3.35091 0.000371171
         495    -3.35457    -3.35091 0.000370495
         496    -3.35435    -3.35092 0.000369813
         497    -3.35428    -3.35093 0.000369131
         498    -3.35406    -3.35093 0.000368444
         499    -3.35384    -3.35094 0.000367752
         500    -3.35362    -3.35094 0.000367055
         501     -3.3537    -3.35095 0.000366364
         502    -3.35348    -3.35095 0.000365669
         503    -3.35357    -3.35096 0.000364979
         504    -3.35365    -3.35097 0.000364294
         505    -3.35358    -3.35097 0.000363609
         506    -3.35337    -3.35097 0.000362921
         507    -3.35361    -3.35098 0.000362243
         508    -3.35355    -3.35099 0.000361565
         509    -3.35349    -3.35099 0.000360888
         510    -3.35358      -3.351 0.000360216
         511    -3.35367      -3.351 0.000359549
         512    -3.35361    -3.35101 0.000358883
         513    -3.35356    -3.35101 0.000358218
         514    -3.35351    -3.35102 0.000357554
         515    -3.35361    -3.35102 0.000356895
         516    -3.35371    -3.35103 0.000356241
         517    -3.35366    -3.35103 0.000355589
         518    -3.35346    -3.35104 0.000354933
         519    -3.35357    -3.35104 0.000354283
         520    -3.35338    -3.35104  0.00035363
         521    -3.35318    -3.35105 0.000352975
         522    -3.35269    -3.35105 0.000352313
         523    -3.35265    -3.35106 0.000351653
         524    -3.35277    -3.35106 0.000350997
         525    -3.35273    -3.35106 0.000350343
         526    -3.35255    -3.35106 0.000349688
         527    -3.35237    -3.35107 0.000349033
         528    -3.35234    -3.35107 0.000348381
         529    -3.35231    -3.35107  0.00034773
         530    -3.35198    -3.35107 0.000347078
         531    -3.35195    -3.35107 0.000346428
         532    -3.35208    -3.35108 0.000345782
         533    -3.35191    -3.35108 0.000345137
         534    -3.35173    -3.35108 0.000344493
         535    -3.35171    -3.35108 0.000343851
         536    -3.35184    -3.35108 0.000343213
         537    -3.35182    -3.35108 0.000342576
         538    -3.35196    -3.35109 0.000341943
         539    -3.35179    -3.35109 0.000341311
         540    -3.35162    -3.35109 0.000340681
         541    -3.35161    -3.35109 0.000340053
         542    -3.35159    -3.35109 0.000339426
         543    -3.35158    -3.35109 0.000338803
         544    -3.35157    -3.35109 0.000338181
         545     -3.3514    -3.35109 0.000337561
         546    -3.35139    -3.35109 0.000336943
         547    -3.35153    -3.35109 0.000336328
         548    -3.35152    -3.35109 0.000335715
         549    -3.35106    -3.35109 0.000335104
         550    -3.35059    -3.35109 0.000334496
         551    -3.35043    -3.35109 0.000333891
         552    -3.35072    -3.35109 0.000333286
         553    -3.35056    -3.35109 0.000332685
         554     -3.3507    -3.35109 0.000332085
         555    -3.35069    -3.35109 0.000331488
         556    -3.35098    -3.35109 0.000330892
         557    -3.35067    -3.35109 0.000330298
         558    -3.35066    -3.35109 0.000329707
         559    -3.35095    -3.35109 0.000329118
         560    -3.35124    -3.35109  0.00032853
         561    -3.35138    -3.35109 0.000327945
         562    -3.35152    -3.35109 0.000327362
         563    -3.35136    -3.35109 0.000326781
         564     -3.3515    -3.35109 0.000326203
         565    -3.35118    -3.35109 0.000325625
         566    -3.35087    -3.35109  0.00032505
         567    -3.35085    -3.35109 0.000324477
         568    -3.35068    -3.35109 0.000323907
         569    -3.35067    -3.35109 0.000323338
         570     -3.3508    -3.35109 0.000322771
         571    -3.35079    -3.35109 0.000322207
         572    -3.35062    -3.35109 0.000321644
         573     -3.3506    -3.35108 0.000321084
         574    -3.35043    -3.35108 0.000320527
         575    -3.35056    -3.35108 0.000319971
         576    -3.35054    -3.35108 0.000319416
         577    -3.35037    -3.35108 0.000318865
         578     -3.3502    -3.35108 0.000318317
         579    -3.35017    -3.35108 0.000317771
         580       -3.35    -3.35108 0.000317229
         581    -3.34982    -3.35107  0.00031669
         582    -3.34995    -3.35107 0.000316152
         583    -3.35008    -3.35107 0.000315614
         584    -3.35005    -3.35107 0.000315079
         585    -3.35018    -3.35107 0.000314544
         586       -3.35    -3.35106 0.000314012
         587    -3.34982    -3.35106 0.000313484
         588    -3.34994    -3.35106 0.000312957
         589    -3.34991    -3.35106 0.000312432
         590    -3.34973    -3.35106  0.00031191
         591     -3.3497    -3.35105 0.000311391
         592    -3.34922    -3.35105  0.00031088
         593    -3.34934    -3.35105  0.00031037
         594    -3.34916    -3.35105 0.000309863
         595    -3.34928    -3.35104 0.000309357
         596     -3.3491    -3.35104 0.000308855
         597    -3.34892    -3.35104 0.000308358
         598    -3.34889    -3.35103 0.000307863
         599    -3.34901    -3.35103 0.000307367
         600    -3.34883    -3.35102 0.000306877
         601    -3.34941    -3.35102 0.000306378
         602    -3.34893    -3.35102 0.000305889
         603     -3.3489    -3.35101 0.000305402
         604    -3.34857    -3.35101 0.000304923
         605    -3.34855    -3.35101 0.000304446
         606    -3.34837      -3.351 0.000303975
         607    -3.34865      -3.351 0.000303498
         608    -3.34863    -3.35099 0.000303024
         609    -3.34846    -3.35099 0.000302555
         610    -3.34844    -3.35099 0.000302088
         611    -3.34827    -3.35098 0.000301626
         612    -3.34825    -3.35098 0.000301167
         613    -3.34823    -3.35097 0.000300709
         614    -3.34807    -3.35097 0.000300256
         615    -3.34805    -3.35096 0.000299805
         616    -3.34804    -3.35096 0.000299356
         617    -3.34788    -3.35095 0.000298913
         618    -3.34757    -3.35095 0.000298479
         619    -3.34725    -3.35094 0.000298057
         620     -3.3471    -3.35094  0.00029764
         621    -3.34694    -3.35093 0.000297231
         622    -3.34693    -3.35092 0.000296822
         623    -3.34708    -3.35092  0.00029641
         624    -3.34707    -3.35091 0.000295999
         625    -3.34707     -3.3509 0.000295589
         626    -3.34707     -3.3509 0.000295181
         627    -3.34692    -3.35089 0.000294778
         628    -3.34676    -3.35089 0.000294382
         629    -3.34706    -3.35088 0.000293977
         630    -3.34706    -3.35087 0.000293573
         631    -3.34706    -3.35087 0.000293169
         632    -3.34706    -3.35086 0.000292767
         633    -3.34722    -3.35086 0.000292361
         634    -3.34707    -3.35085 0.000291961
         635    -3.34692    -3.35084 0.000291567
         636    -3.34707    -3.35084 0.000291169
         637    -3.34707    -3.35083 0.000290772
         638    -3.34737    -3.35083 0.000290367
         639    -3.34737    -3.35082 0.000289963
         640    -3.34722    -3.35082 0.000289565
         641    -3.34722    -3.35081 0.000289168
         642    -3.34706     -3.3508 0.000288776
         643    -3.34676     -3.3508 0.000288395
         644    -3.34676    -3.35079 0.000288016
         645    -3.34676    -3.35079 0.000287637
         646    -3.34675    -3.35078  0.00028726
         647     -3.3466    -3.35077 0.000286889
         648    -3.34659    -3.35077 0.000286518
         649    -3.34659    -3.35076 0.000286149
         650    -3.34689    -3.35075 0.000285771
         651    -3.34673    -3.35075 0.000285399
         652    -3.34703    -3.35074 0.000285018
         653    -3.34642    -3.35073 0.000284658
         654    -3.34672    -3.35073 0.000284289
         655    -3.34656    -3.35072 0.000283927
         656    -3.34686    -3.35072 0.000283555
         657      -3.347    -3.35071  0.00028318
         658    -3.34715    -3.35071 0.000282801
